,Unnamed: 0,authorid,author,date,content
0,1,655867288913969162,bananaabread,08/24/2021 6:47 PM,HELLLO
1,2,659929323418943498,_breanna_,08/24/2021 6:47 PM,hello!!!
2,3,659929323418943498,_breanna_,08/24/2021 6:47 PM,are you doing alright?
3,4,655867288913969162,bananaabread,08/24/2021 6:47 PM,Si
4,5,659929323418943498,_breanna_,08/24/2021 6:47 PM,"okay, I'm glad to hear that and that you got home safely"
5,6,655867288913969162,bananaabread,08/24/2021 6:48 PM,We got Dunkin’ Donuts
6,7,659929323418943498,_breanna_,08/24/2021 6:48 PM,oh i'm so jealous! i love dunkin donuts! what kind of donuts did you get?
7,8,655867288913969162,bananaabread,08/24/2021 6:48 PM,Glazed
8,9,655867288913969162,bananaabread,08/24/2021 6:48 PM,I think that’s how you spell it idk
9,10,659929323418943498,_breanna_,08/24/2021 6:49 PM,"yeah, that's how you spell it lol.  that's my fav flavor, that's awesome : )"
10,11,655867288913969162,bananaabread,08/24/2021 6:49 PM,"Yes, ALSO BUY PERSONA 5 SO WE CAN PKAY IT TOGETHER"
11,12,655867288913969162,bananaabread,08/24/2021 6:49 PM,PLAY
12,13,659929323418943498,_breanna_,08/24/2021 6:50 PM,I WILL eventually but I need to stabilize my money situation here first 🥲
13,14,655867288913969162,bananaabread,08/24/2021 6:50 PM,OK
14,15,659929323418943498,_breanna_,08/24/2021 6:50 PM,OK
15,16,655867288913969162,bananaabread,08/24/2021 6:50 PM,ALSO TELL ME WHEN YOU BUY IT
16,17,659929323418943498,_breanna_,08/24/2021 6:51 PM,I promise!
17,18,655867288913969162,bananaabread,08/24/2021 6:51 PM,😡😡😡 or else your crusty
18,19,659929323418943498,_breanna_,08/24/2021 6:51 PM,oh : ( lol
19,20,659929323418943498,_breanna_,08/24/2021 6:51 PM,feel free to message me whenever! I'm a loser and I have no friends so I wont be too busy
20,21,655867288913969162,bananaabread,08/24/2021 6:52 PM,Ok! Also your not a loser 🙄🙄
21,22,659929323418943498,_breanna_,08/24/2021 6:52 PM,thank you for thinking that 🥺
22,23,655867288913969162,bananaabread,08/24/2021 6:52 PM,Your welcome 😋
23,24,655867288913969162,bananaabread,08/24/2021 6:53 PM,I’m going offline now I’m gonna watch YouTube or something
24,25,655867288913969162,bananaabread,08/24/2021 6:53 PM,BYEEEE
25,26,655867288913969162,bananaabread,08/24/2021 6:53 PM,ILYYY
26,27,659929323418943498,_breanna_,08/24/2021 6:53 PM,Ok! Byyyeee! Love you too!!
27,28,655867288913969162,bananaabread,08/28/2021 11:53 PM,BRE
28,29,655867288913969162,bananaabread,08/28/2021 11:53 PM,ANNA
29,30,655867288913969162,bananaabread,08/28/2021 11:54 PM,BREEEEEEANA
30,31,655867288913969162,bananaabread,08/28/2021 11:54 PM,brena
31,32,659929323418943498,_breanna_,08/28/2021 11:54 PM,helloooooooo
32,33,655867288913969162,bananaabread,08/28/2021 11:54 PM,bren
33,34,659929323418943498,_breanna_,08/28/2021 11:54 PM,heello my darling
34,35,655867288913969162,bananaabread,08/28/2021 11:54 PM,Can we start watching persona 5 tomorrow
35,36,655867288913969162,bananaabread,08/28/2021 11:54 PM,THE GAME NOT THE SHOW
36,37,659929323418943498,_breanna_,08/28/2021 11:54 PM,"yes, of course!"
37,38,655867288913969162,bananaabread,08/28/2021 11:54 PM,Yayyyyy
38,39,659929323418943498,_breanna_,08/28/2021 11:54 PM,did you find a playthrough that you might like?
39,40,655867288913969162,bananaabread,08/28/2021 11:55 PM,No not yet
40,41,659929323418943498,_breanna_,08/28/2021 11:55 PM,"okay, I'll look for one too and we'll see what we might like. what time 2morrow?"
41,42,655867288913969162,bananaabread,08/28/2021 11:55 PM,"I don’t know what time, whenever your free"
42,43,655867288913969162,bananaabread,08/28/2021 11:56 PM,DECIDE A TIME BRENA 🤬🤬🤬🤬
43,44,659929323418943498,_breanna_,08/28/2021 11:56 PM,OKAY'
44,45,659929323418943498,_breanna_,08/28/2021 11:56 PM,how about 6pm?
45,46,655867288913969162,bananaabread,08/28/2021 11:56 PM,Okayyy
46,47,659929323418943498,_breanna_,08/28/2021 11:56 PM,okaaayyy see you then!
47,48,655867288913969162,bananaabread,08/28/2021 11:56 PM,We’re gonna call on discord right
48,49,659929323418943498,_breanna_,08/28/2021 11:56 PM,yes!
49,50,655867288913969162,bananaabread,08/28/2021 11:56 PM,MK
50,51,659929323418943498,_breanna_,08/28/2021 11:56 PM,alright! goodnight alexa!
51,52,655867288913969162,bananaabread,08/28/2021 11:57 PM,GOODNIGHT!!
52,53,655867288913969162,bananaabread,08/29/2021 6:00 PM,IT IS 6 PM BRENA
53,54,659929323418943498,_breanna_,08/29/2021 6:01 PM,Im coming! I just need a few minutes to clean the kitchen up if that’s ok
54,55,655867288913969162,bananaabread,08/29/2021 6:01 PM,ok I’ll be waiting
55,56,659929323418943498,_breanna_,08/29/2021 6:01 PM,Ok
56,57,659929323418943498,_breanna_,08/29/2021 6:15 PM,"ok, im ready"
57,59,659929323418943498,_breanna_,09/01/2021 11:16 PM,I can watch more persona tomorrow but probably not til I get back from orientation which could be like 7 or 8pm
58,60,659929323418943498,_breanna_,09/04/2021 2:00 PM,ALEXA
59,61,659929323418943498,_breanna_,09/04/2021 2:06 PM,Whos your fav genshin character
60,62,659929323418943498,_breanna_,09/06/2021 7:03 PM,ready when you are
61,63,655867288913969162,bananaabread,09/06/2021 7:10 PM,OK IM READY
62,64,655867288913969162,bananaabread,09/06/2021 7:11 PM,WIAT
63,65,659929323418943498,_breanna_,09/06/2021 7:11 PM,oh-
64,66,655867288913969162,bananaabread,09/06/2021 7:11 PM,ok ready
65,68,655867288913969162,bananaabread,09/06/2021 7:28 PM,A
66,69,655867288913969162,bananaabread,09/06/2021 7:28 PM,B
67,70,655867288913969162,bananaabread,09/06/2021 7:28 PM,C
68,71,655867288913969162,bananaabread,09/06/2021 7:29 PM,D
69,72,655867288913969162,bananaabread,09/06/2021 7:29 PM,E
70,73,655867288913969162,bananaabread,09/06/2021 7:29 PM,F
71,74,655867288913969162,bananaabread,09/06/2021 7:29 PM,G
72,75,655867288913969162,bananaabread,09/06/2021 7:29 PM,H
73,76,655867288913969162,bananaabread,09/06/2021 7:29 PM,I
74,77,655867288913969162,bananaabread,09/06/2021 7:29 PM,J
75,78,655867288913969162,bananaabread,09/06/2021 7:29 PM,K
76,79,655867288913969162,bananaabread,09/06/2021 7:29 PM,L
77,80,655867288913969162,bananaabread,09/06/2021 7:29 PM,M
78,81,655867288913969162,bananaabread,09/06/2021 7:29 PM,N
79,82,655867288913969162,bananaabread,09/06/2021 7:29 PM,O
80,83,655867288913969162,bananaabread,09/06/2021 7:29 PM,P
81,84,655867288913969162,bananaabread,09/06/2021 7:29 PM,Q
82,85,655867288913969162,bananaabread,09/06/2021 7:29 PM,R
83,86,655867288913969162,bananaabread,09/06/2021 7:29 PM,S
84,87,655867288913969162,bananaabread,09/06/2021 7:29 PM,T
85,88,655867288913969162,bananaabread,09/06/2021 7:29 PM,U
86,89,655867288913969162,bananaabread,09/06/2021 7:29 PM,V
87,90,655867288913969162,bananaabread,09/06/2021 7:29 PM,W
88,91,655867288913969162,bananaabread,09/06/2021 7:29 PM,X
89,92,655867288913969162,bananaabread,09/06/2021 7:30 PM,Y
90,93,655867288913969162,bananaabread,09/06/2021 7:30 PM,Z
91,95,655867288913969162,bananaabread,09/06/2021 7:36 PM,_ 𝔉𝔞𝔯𝔱_
92,100,655867288913969162,bananaabread,09/06/2021 8:39 PM,EXPOSED…
93,101,655867288913969162,bananaabread,09/06/2021 8:40 PM,YES RYUJI
94,102,655867288913969162,bananaabread,09/06/2021 8:40 PM,EXPOSE HIMMMM
95,103,655867288913969162,bananaabread,09/06/2021 8:54 PM,EXPOSEDDDAH
96,104,655867288913969162,bananaabread,09/11/2021 10:52 PM,Yo status say do not disturb well imma disturb you
97,105,655867288913969162,bananaabread,09/11/2021 10:52 PM,HEY
98,106,655867288913969162,bananaabread,09/11/2021 10:52 PM,BREANNAAAAA
99,107,655867288913969162,bananaabread,09/11/2021 10:53 PM,Answer me or your racist
100,108,659929323418943498,_breanna_,09/11/2021 10:54 PM,👀
101,109,659929323418943498,_breanna_,09/11/2021 10:55 PM,Hiyaaa
102,110,655867288913969162,bananaabread,09/12/2021 10:24 PM,hello
103,111,655867288913969162,bananaabread,09/12/2021 10:24 PM,Brena
104,112,655867288913969162,bananaabread,09/12/2021 10:24 PM,GUESS WHAT HAPPEND IN SCHOOL
105,113,659929323418943498,_breanna_,09/12/2021 10:24 PM,what happened??
106,114,655867288913969162,bananaabread,09/12/2021 10:24 PM,Ok so y know how people use the same computers in school
107,115,659929323418943498,_breanna_,09/12/2021 10:24 PM,"yes, I know!"
108,116,655867288913969162,bananaabread,09/12/2021 10:25 PM,So someone forgot to log out of their chromebook
109,117,655867288913969162,bananaabread,09/12/2021 10:25 PM,"And another person used it, went onto the account that wasn’t logged out"
110,118,655867288913969162,bananaabread,09/12/2021 10:25 PM,And said in a Google classroom
111,119,655867288913969162,bananaabread,09/12/2021 10:25 PM,IMMA CUSS OKAY
112,120,655867288913969162,bananaabread,09/12/2021 10:26 PM,DONT TELL NOBODY
113,121,659929323418943498,_breanna_,09/12/2021 10:26 PM,OKAY
114,122,655867288913969162,bananaabread,09/12/2021 10:26 PM,they said fuck all you botched in this class
115,123,655867288913969162,bananaabread,09/12/2021 10:26 PM,BITCHES
116,124,659929323418943498,_breanna_,09/12/2021 10:26 PM,OH NOOOOOOOOOO
117,125,655867288913969162,bananaabread,09/12/2021 10:26 PM,YES
118,126,655867288913969162,bananaabread,09/12/2021 10:26 PM,AND IT WASNT ON THEIR ACCOUNT
119,127,659929323418943498,_breanna_,09/12/2021 10:26 PM,in the google classroom for the teacher to see too?
120,128,655867288913969162,bananaabread,09/12/2021 10:26 PM,YES
121,129,659929323418943498,_breanna_,09/12/2021 10:26 PM,that's terrible!!
122,130,659929323418943498,_breanna_,09/12/2021 10:26 PM,that kid will probably get in trouble!
123,131,655867288913969162,bananaabread,09/12/2021 10:27 PM,YES ITS CRAZY
124,132,659929323418943498,_breanna_,09/12/2021 10:27 PM,how do you know about it?
125,133,655867288913969162,bananaabread,09/12/2021 10:27 PM,My friend told me
126,134,659929323418943498,_breanna_,09/12/2021 10:27 PM,"Oh WOW! Well, that's a reminder to always log out of your account in school, Alexa lol"
127,135,655867288913969162,bananaabread,09/12/2021 10:28 PM,YES AND THEN THE TEACHERS STARTED SAYING “Make sure you log out when your done using the computers”
128,136,659929323418943498,_breanna_,09/12/2021 10:28 PM,LOLOLOL
129,137,659929323418943498,_breanna_,09/12/2021 10:28 PM,how awkward
130,138,655867288913969162,bananaabread,09/12/2021 10:28 PM,ITS KINDA FUNNY THO
131,139,659929323418943498,_breanna_,09/12/2021 10:28 PM,"if I was that kid, I would transfer school out of embarrassment"
132,140,655867288913969162,bananaabread,09/12/2021 10:28 PM,Samee
133,141,659929323418943498,_breanna_,09/12/2021 10:28 PM,it's funny yeah lol
134,142,659929323418943498,_breanna_,09/12/2021 10:28 PM,be careful in these streets bro
135,143,655867288913969162,bananaabread,09/12/2021 10:29 PM,OKAY I HAVE TO GO TO BED IM GONNA GET IN TROUBLE BECAUSE TOMORROWS MONDAY
136,144,659929323418943498,_breanna_,09/12/2021 10:29 PM,"LOL, OKAY, GOODNIGHT DARLING"
137,145,655867288913969162,bananaabread,09/12/2021 10:29 PM,GOODNIGHT
138,146,659929323418943498,_breanna_,09/12/2021 10:29 PM,have a good day at school tomorrow! Love you!
139,147,655867288913969162,bananaabread,09/12/2021 10:29 PM,ILYT
140,148,659929323418943498,_breanna_,09/12/2021 10:29 PM,❤️
141,149,655867288913969162,bananaabread,09/17/2021 6:18 PM,Do you wanna watch persona 😫😫😫
142,150,659929323418943498,_breanna_,09/17/2021 6:18 PM,Yes! But I'm in a call rn! I can text you when I'm off the call
143,151,655867288913969162,bananaabread,09/17/2021 6:19 PM,Okay text me when you ready
144,152,659929323418943498,_breanna_,09/17/2021 8:14 PM,just got off the call
145,153,655867288913969162,bananaabread,09/17/2021 8:14 PM,WHY SO LATE
146,154,659929323418943498,_breanna_,09/17/2021 8:14 PM,IM SORRY there was a lot to talk about
147,155,655867288913969162,bananaabread,09/17/2021 8:14 PM,What were you guys talking about 😮😮😮
148,156,659929323418943498,_breanna_,09/17/2021 8:15 PM,talking about school life. my friend is applying to be a doctor so she was telling me about that
149,157,655867288913969162,bananaabread,09/17/2021 8:15 PM,Ooohhhh ok
150,158,655867288913969162,bananaabread,09/17/2021 8:15 PM,Do you still wanna watch persona 5
151,159,659929323418943498,_breanna_,09/17/2021 8:16 PM,I can - but I still have to make dinner so I'll probably have to be on mute for the majority of the call. I would still be listening though. Do you still wanna watch? It's okay if you wanna do another time
152,160,655867288913969162,bananaabread,09/17/2021 8:16 PM,OF COURSE I STILL WANNA WATCH DUH
153,161,659929323418943498,_breanna_,09/17/2021 8:16 PM,I DON'T KNOW MAYBE YOU WERE TIRED OR SOMETHING
154,162,659929323418943498,_breanna_,09/17/2021 8:16 PM,but okay. i'll be muted though
155,163,659929323418943498,_breanna_,09/17/2021 8:16 PM,is that okay
156,164,655867288913969162,bananaabread,09/17/2021 8:17 PM,Ye that’s okay
157,165,659929323418943498,_breanna_,09/17/2021 8:17 PM,ok. i'll call
158,167,659929323418943498,_breanna_,09/17/2021 8:21 PM,Lol
159,168,659929323418943498,_breanna_,09/17/2021 8:21 PM,Your commentary is so good
160,169,659929323418943498,_breanna_,09/17/2021 8:27 PM,You right
161,170,659929323418943498,_breanna_,09/17/2021 8:32 PM,Same
162,171,659929323418943498,_breanna_,09/17/2021 8:38 PM,Youre spittin the truth
163,172,659929323418943498,_breanna_,09/17/2021 9:08 PM,You’re hilarious
164,173,659929323418943498,_breanna_,09/17/2021 9:15 PM,LOLLL
165,175,659929323418943498,_breanna_,09/18/2021 12:34 AM,Pinned a message.
166,176,655867288913969162,bananaabread,09/24/2021 8:02 PM,BREANNA
167,177,655867288913969162,bananaabread,09/24/2021 8:03 PM,ANSWERRR
168,178,659929323418943498,_breanna_,09/24/2021 8:06 PM,huh
169,179,655867288913969162,bananaabread,09/24/2021 8:06 PM,Omg you responded
170,180,655867288913969162,bananaabread,09/24/2021 8:06 PM,THE 8th GRADERS AT ROOSEVELT BE THROWING HANDS
171,181,655867288913969162,bananaabread,09/24/2021 8:07 PM,LOOK
172,183,659929323418943498,_breanna_,09/24/2021 8:07 PM,LMAOOOOOO
173,184,659929323418943498,_breanna_,09/24/2021 8:08 PM,"school just started, what beef could they possibly have ALREADY? 😂"
174,185,655867288913969162,bananaabread,09/24/2021 8:08 PM,IKR
175,186,659929323418943498,_breanna_,09/24/2021 8:08 PM,that's hilarious
176,187,659929323418943498,_breanna_,09/24/2021 8:08 PM,how's school going for you
177,188,655867288913969162,bananaabread,09/24/2021 8:08 PM,DO YOU KNOW WHAT A DEVIOUS LICK IS
178,189,659929323418943498,_breanna_,09/24/2021 8:09 PM,no but i've heard of it
179,190,655867288913969162,bananaabread,09/24/2021 8:09 PM,ITS WHEN PEOPLE STEAL FROM SCHOOL
180,191,655867288913969162,bananaabread,09/24/2021 8:09 PM,SOMEONE DID IT AND GOT CAUGHT
181,192,659929323418943498,_breanna_,09/24/2021 8:09 PM,what did they try to steal???
182,193,655867288913969162,bananaabread,09/24/2021 8:09 PM,SOAP FROM THE BOYS BATHROOM
183,194,659929323418943498,_breanna_,09/24/2021 8:09 PM,LOOOOLLL
184,195,659929323418943498,_breanna_,09/24/2021 8:10 PM,what the actual heck
185,196,659929323418943498,_breanna_,09/24/2021 8:10 PM,"nah, y'all are goofy"
186,197,655867288913969162,bananaabread,09/24/2021 8:10 PM,LOLLL
187,198,659929323418943498,_breanna_,09/24/2021 8:10 PM,i'm glad they got caught XD
188,199,659929323418943498,_breanna_,09/24/2021 8:10 PM,is school okay otherwise for you?
189,200,655867288913969162,bananaabread,09/24/2021 8:10 PM,YES
190,201,659929323418943498,_breanna_,09/24/2021 8:10 PM,that's good to hear! keep up the good work
191,202,659929323418943498,_breanna_,09/24/2021 8:10 PM,and the memes
192,203,655867288913969162,bananaabread,09/24/2021 8:11 PM,LOOK WHAT MY SCIENCE TEACHER GAVE YS
193,204,655867288913969162,bananaabread,09/24/2021 8:11 PM,US
194,205,659929323418943498,_breanna_,09/24/2021 8:11 PM,😮
195,206,659929323418943498,_breanna_,09/24/2021 8:11 PM,what is that?!
196,207,655867288913969162,bananaabread,09/24/2021 8:11 PM,How do you not know what that is 🙄🙄🙄
197,208,655867288913969162,bananaabread,09/24/2021 8:11 PM,Uncultured 🙄🙄😒😒
198,209,659929323418943498,_breanna_,09/24/2021 8:11 PM,true
