,authorid,author,date,content,spam,word_count,char_count,avg_word
1,655867288913969162,bananaabread,08/24/2021 6:47 PM,HELLLO,0,1,6,6.0
4,655867288913969162,bananaabread,08/24/2021 6:47 PM,Si,0,1,2,2.0
6,655867288913969162,bananaabread,08/24/2021 6:48 PM,We got Dunkin’ Donuts,0,4,21,4.5
8,655867288913969162,bananaabread,08/24/2021 6:48 PM,Glazed,0,1,6,6.0
9,655867288913969162,bananaabread,08/24/2021 6:48 PM,I think that’s how you spell it idk,0,8,35,3.5
11,655867288913969162,bananaabread,08/24/2021 6:49 PM,"Yes, ALSO BUY PERSONA 5 SO WE CAN PKAY IT TOGETHER",0,11,50,3.6363636363636362
12,655867288913969162,bananaabread,08/24/2021 6:49 PM,PLAY,0,1,4,4.0
14,655867288913969162,bananaabread,08/24/2021 6:50 PM,OK,0,1,2,2.0
16,655867288913969162,bananaabread,08/24/2021 6:50 PM,ALSO TELL ME WHEN YOU BUY IT,0,7,28,3.142857142857143
18,655867288913969162,bananaabread,08/24/2021 6:51 PM,😡😡😡 or else your crusty,0,5,23,3.8
21,655867288913969162,bananaabread,08/24/2021 6:52 PM,Ok! Also your not a loser 🙄🙄,0,7,28,3.142857142857143
23,655867288913969162,bananaabread,08/24/2021 6:52 PM,Your welcome 😋,0,3,14,4.0
24,655867288913969162,bananaabread,08/24/2021 6:53 PM,I’m going offline now I’m gonna watch YouTube or something,0,10,58,4.9
25,655867288913969162,bananaabread,08/24/2021 6:53 PM,BYEEEE,0,1,6,6.0
26,655867288913969162,bananaabread,08/24/2021 6:53 PM,ILYYY,0,1,5,5.0
28,655867288913969162,bananaabread,08/28/2021 11:53 PM,BRE,0,1,3,3.0
29,655867288913969162,bananaabread,08/28/2021 11:53 PM,ANNA,0,1,4,4.0
30,655867288913969162,bananaabread,08/28/2021 11:54 PM,BREEEEEEANA,0,1,11,11.0
31,655867288913969162,bananaabread,08/28/2021 11:54 PM,brena,0,1,5,5.0
33,655867288913969162,bananaabread,08/28/2021 11:54 PM,bren,0,1,4,4.0
35,655867288913969162,bananaabread,08/28/2021 11:54 PM,Can we start watching persona 5 tomorrow,0,7,40,4.857142857142857
36,655867288913969162,bananaabread,08/28/2021 11:54 PM,THE GAME NOT THE SHOW,0,5,21,3.4
38,655867288913969162,bananaabread,08/28/2021 11:54 PM,Yayyyyy,0,1,7,7.0
