,words,tf,idf,tfidf,spam
0,helllo,1.0,6.530877627725885,6.530877627725885,0
1,si,8.0,3.4863551900024623,27.8908415200197,0
2,got,6.0,4.22829253473184,25.36975520839104,0
3,dunkin’,1.0,6.530877627725885,6.530877627725885,0
4,donut,1.0,6.530877627725885,6.530877627725885,0
5,glazed,1.0,6.530877627725885,6.530877627725885,0
6,think,3.0,5.432265339057776,16.296796017173328,0
7,that’s,2.0,5.8377304471659395,11.675460894331879,0
8,spell,2.0,5.8377304471659395,11.675460894331879,0
9,"yes,",3.0,5.432265339057776,16.296796017173328,0
10,also,7.0,4.584967478670572,32.09477235069401,0
11,buy,3.0,5.432265339057776,16.296796017173328,0
12,persona,6.0,4.73911815849783,28.43470895098698,0
13,5,8.0,4.22829253473184,33.82634027785472,0
14,pkay,1.0,6.530877627725885,6.530877627725885,0
15,together,2.0,5.8377304471659395,11.675460894331879,0
16,play,4.0,4.73911815849783,18.95647263399132,0
17,,119.0,0.0,0.0,0
18,tell,6.0,4.73911815849783,28.43470895098698,0
19,😡😡😡,1.0,6.530877627725885,6.530877627725885,0
20,else,2.0,5.8377304471659395,11.675460894331879,0
21,crusty,2.0,5.8377304471659395,11.675460894331879,0
22,ok!,1.0,6.530877627725885,6.530877627725885,0
23,loser,1.0,5.8377304471659395,5.8377304471659395,0
24,🙄🙄,1.0,5.432265339057776,5.432265339057776,0
25,welcome,1.0,6.530877627725885,6.530877627725885,0
26,😋,1.0,6.530877627725885,6.530877627725885,0
27,going,4.0,5.144583266605995,20.57833306642398,0
28,offline,1.0,6.530877627725885,6.530877627725885,0
29,gonna,9.0,4.333653050389666,39.00287745350699,0
30,watch,9.0,4.045970977937885,36.413738801440964,0
31,youtube,1.0,5.8377304471659395,5.8377304471659395,0
32,something,5.0,4.921439715291784,24.60719857645892,0
33,byeeee,1.0,5.8377304471659395,5.8377304471659395,0
34,ilyyy,1.0,6.530877627725885,6.530877627725885,0
35,bre,2.0,3.697664283669669,7.395328567339338,0
36,anna,1.0,3.9659282702643486,3.9659282702643486,0
37,breeeeeeana,1.0,6.530877627725885,6.530877627725885,0
38,bren,1.0,4.921439715291784,4.921439715291784,0
39,start,2.0,5.432265339057776,10.864530678115552,0
40,watching,2.0,5.8377304471659395,11.675460894331879,0
41,tomorrow,3.0,5.432265339057776,16.296796017173328,0
42,game,2.0,5.8377304471659395,11.675460894331879,0
43,show,3.0,5.144583266605995,15.433749799817985,0
44,yayyyyy,2.0,5.8377304471659395,11.675460894331879,0
45,yet,2.0,5.8377304471659395,11.675460894331879,0
46,don’t,7.0,4.584967478670572,32.09477235069401,0
47,know,8.0,4.45143608604605,35.6114886883684,0
48,"time,",1.0,6.530877627725885,6.530877627725885,0
